Timestamp,Source_IP,Destination_IP,Protocol,Source_Port,Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Flow_Bytes_s,Flow_Packets_s,Packet_Length_Mean,Packet_Length_Std,SYN_Flag_Count,ACK_Flag_Count,Average_Packet_Size,Label
2026-08-20 15:17:46,45.227.254.12,192.168.1.15,6,49289,80,811.6262258099887,264,1,16896,64,20896318.355255485,326504.97430086695,64.0,0.0,264,0,64.0,DDoS
2026-08-20 15:17:53,192.168.1.10,192.168.1.50,6,56316,443,150506.07154587604,7,13,329,1391,11428.110390056414,132.8850045355397,146.99098521619942,34.97327922401266,0,19,86.0,Benign
2026-08-20 15:17:53,192.168.1.22,104.24.12.5,17,49364,443,11934.38126244735,8,9,1520,1818,279696.1087964677,1424.455916578775,95.6069984217036,33.55527884179041,0,16,196.35294117647058,Benign
2026-08-20 15:17:55,192.168.1.20,192.168.1.1,6,60915,1883,11136.793106434514,6,14,822,1526,210832.68563581325,1795.8491110375915,59.76721140063839,30.526990795364707,0,19,117.4,Benign
2026-08-20 15:18:12,192.168.1.10,210.10.85.14,6,37202,23,5800.908425853983,39,15,2886,1350,730230.4551336535,9308.886821817112,80.0,12.0,1,39,80.0,Mirai
2026-08-20 15:18:15,192.168.1.20,104.24.12.5,6,56619,1883,6507.611697722432,8,16,408,6368,1041242.212157726,3687.9889450686874,142.18742350231167,12.654775061557585,0,23,282.3333333333333,Benign
2026-08-20 15:18:30,192.168.1.110,192.168.1.20,6,57332,748,106.03160258538115,3,2,132,88,2074853.1063919992,47155.75241799998,44.0,0.0,3,0,44.0,Reconnaissance
2026-08-20 15:18:15,192.168.1.20,192.168.1.1,6,57173,443,2314.0982843415977,8,14,1408,6062,3228039.211016203,9506.942790141427,148.68869366005174,33.16734307889972,0,21,339.54545454545456,Benign
2026-08-20 15:18:47,192.168.1.15,34.210.15.22,6,50203,1883,11076.972025294297,6,10,588,4800,486414.5172251484,1444.438061544613,136.31034258755935,28.698943804826737,0,15,336.75,Benign
2026-08-20 15:18:54,192.168.1.20,104.24.12.5,17,64187,443,20090.94006256505,8,13,1128,5057,307850.20415865746,1045.247257450575,106.12771975694963,33.12901539863683,0,20,294.5238095238095,Benign
2026-08-20 15:18:40,192.168.1.20,192.168.1.50,17,53684,53,34040.736575513896,5,12,660,2064,80021.77020926807,499.40164961731176,100.85706911647029,37.22699421778279,1,16,160.23529411764707,Benign
2026-08-20 15:18:16,192.168.1.15,192.168.1.50,6,64489,1883,14336.941149164917,6,14,828,3570,306759.995332489,1394.9977050135926,139.25589984899779,26.18026725746952,0,19,219.9,Benign
2026-08-20 15:18:11,10.0.0.105,192.168.1.20,6,33655,602,405.64567603039063,4,1,176,44,542345.2362487842,12326.028096563277,44.0,0.0,4,0,44.0,Reconnaissance
2026-08-20 15:18:48,192.168.1.20,104.24.12.5,6,55669,443,113212.13246431157,7,11,1400,2332,32964.66481784942,158.99356021470783,72.21078104707303,13.595961020010485,0,17,207.33333333333334,Benign
2026-08-20 15:19:34,192.168.1.10,34.210.15.22,17,61046,1883,20595.428993121623,12,12,528,1404,93807.22298356793,1165.3071178082973,55.14787512499893,18.359393927098346,0,23,80.5,Benign
2026-08-20 15:19:07,192.168.1.10,192.168.1.1,17,53272,443,119443.04755446702,10,12,570,5388,49881.513591514,184.18820057289494,103.57746840747585,12.70869310163225,0,21,270.8181818181818,Benign
2026-08-20 15:18:34,192.168.1.110,192.168.1.15,6,50521,22,1687074.7416195523,79,54,9480,7560,10100.323109361474,78.83468154607253,130.0,25.0,1,132,130.0,Brute Force
2026-08-20 15:18:41,45.227.254.12,192.168.1.22,6,25496,80,709.482123446298,493,5,31552,320,44922907.775579,701920.4339934218,64.0,0.0,493,0,64.0,DDoS
2026-08-20 15:19:18,192.168.1.10,104.24.12.5,6,49841,443,10321.605330377826,4,11,224,2563,270016.13710199675,1453.262309483298,114.51727904094498,15.230992870149743,0,14,185.8,Benign
2026-08-20 15:19:45,192.168.1.10,104.24.12.5,6,59979,80,58710.626378385954,9,14,432,7000,126586.96488947794,391.75190964181814,102.96505783560065,17.25556872701355,0,22,323.1304347826087,Benign
2026-08-20 15:19:25,192.168.1.15,192.168.1.50,6,62490,443,4886.3070237470365,12,16,1932,7568,1944208.5717968207,5730.2989484537875,50.91970516166297,13.044146285980963,1,27,339.2857142857143,Benign
